gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"ARF5"	1755
"ARF6"	829
"ARFGAP1"	1639
"ARFGAP2"	2099
"ARFGAP3"	566
"ARFGEF1"	2446
"ARFGEF2"	3852
"ARFGEF3"	9305
"ARFIP1"	376
"ARFIP2"	1000
"ARFRP1"	543
"ARG1"	6
"ARG2"	240
"ARGFX"	1
"ARGFXP2"	2
"ARGLU1"	2764
"ARHGAP1"	1629
"ARHGAP10"	378
"ARHGAP11A"	56
"ARHGAP11B"	17
"ARHGAP12"	1828
"ARHGAP15"	48
"ARHGAP17"	614
"ARHGAP18"	135
"ARHGAP19"	299
"ARHGAP19-SLIT1"	201
"ARHGAP20"	1267
"ARHGAP21"	16223
"ARHGAP22"	713
"ARHGAP22-IT1"	36
"ARHGAP23"	5062
"ARHGAP24"	272
"ARHGAP25"	218
"ARHGAP26"	6158
"ARHGAP26-AS1"	0
"ARHGAP26-IT1"	43
"ARHGAP27"	355
"ARHGAP27P1"	334
"ARHGAP27P1-BPTFP1-KPNA2P3"	532
"ARHGAP27P2"	11
"ARHGAP28"	70
"ARHGAP29"	918
"ARHGAP30"	84
"ARHGAP31"	1113
"ARHGAP31-AS1"	2
"ARHGAP32"	9512
"ARHGAP33"	922
"ARHGAP35"	8168
"ARHGAP36"	32
"ARHGAP39"	876
"ARHGAP4"	272
"ARHGAP40"	1
"ARHGAP42"	361
"ARHGAP44"	1747
"ARHGAP45"	179
"ARHGAP5"	9354
"ARHGAP5-AS1"	84
"ARHGAP6"	157
"ARHGAP8"	20
"ARHGAP9"	130
"ARHGDIA"	2434
"ARHGDIB"	268
"ARHGDIG"	1503
"ARHGEF1"	754
"ARHGEF10"	1431
"ARHGEF10L"	955
"ARHGEF11"	4082
"ARHGEF12"	9841
"ARHGEF15"	66
"ARHGEF16"	62
"ARHGEF17"	3131
"ARHGEF18"	1265
"ARHGEF19"	9
"ARHGEF2"	4490
"ARHGEF25"	2226
"ARHGEF26"	665
"ARHGEF26-AS1"	136
"ARHGEF28"	646
"ARHGEF3"	1643
"ARHGEF3-AS1"	0
"ARHGEF33"	140
"ARHGEF34P"	0
"ARHGEF35"	5
"ARHGEF37"	1324
"ARHGEF38"	0
"ARHGEF38-IT1"	0
"ARHGEF39"	1
"ARHGEF4"	4972
